Year,State,Country,Percentage,Latitude ,Longitude
2017,SABAH,BELGIUM,16.7,50.640281,4.666715
2017,LABUAN,BELGIUM,16.7,50.640281,4.666715
2018,PUTRAJAYA,BELGIUM,0,50.640281,4.666715
2018,PENANG,BELGIUM,22.2,50.640281,4.666715
2018,PERAK,BELGIUM,5.6,50.640281,4.666715
2018,NEGERI SEMBILAN,BELGIUM,0,50.640281,4.666715
2018,MELAKA,BELGIUM,2.8,50.640281,4.666715
2018,JOHOR,BELGIUM,0,50.640281,4.666715
2018,PAHANG,BELGIUM,0,50.640281,4.666715
2018,TERENGGANU,BELGIUM,0,50.640281,4.666715
2018,KELANTAN,BELGIUM,16.7,50.640281,4.666715
2018,SARAWAK,BELGIUM,0,50.640281,4.666715
2018,SABAH,BELGIUM,2.8,50.640281,4.666715
2018,LABUAN,BELGIUM,0,50.640281,4.666715
2019,KUALA LUMPUR,BELGIUM,93.2,50.640281,4.666715
2019,PUTRAJAYA,BELGIUM,0,50.640281,4.666715
2019,PERLIS,BELGIUM,0,50.640281,4.666715
2019,KEDAH,BELGIUM,31.6,50.640281,4.666715
2019,PENANG,BELGIUM,32,50.640281,4.666715
2019,PERAK,BELGIUM,19.6,50.640281,4.666715
2019,SELANGOR,BELGIUM,56.6,50.640281,4.666715
2019,NEGERI SEMBILAN,BELGIUM,0,50.640281,4.666715
2019,MELAKA,BELGIUM,13.9,50.640281,4.666715
2019,JOHOR,BELGIUM,0,50.640281,4.666715
2019,PAHANG,BELGIUM,26.9,50.640281,4.666715
2019,TERENGGANU,BELGIUM,38,50.640281,4.666715
2019,KELANTAN,BELGIUM,19.8,50.640281,4.666715
2019,SARAWAK,BELGIUM,3.9,50.640281,4.666715
2019,SABAH,BELGIUM,4,50.640281,4.666715
2019,LABUAN,BELGIUM,0,50.640281,4.666715
2016,KUALA LUMPUR,BELGIUM,40.9,50.640281,4.666715
2017,KUALA LUMPUR,BELGIUM,8.35,50.640281,4.666715
2018,KUALA LUMPUR,BELGIUM,30.55,50.640281,4.666715
2016,SELANGOR,BELGIUM,40.9,50.640281,4.666715
2017,SELANGOR,BELGIUM,8.35,50.640281,4.666715
2018,SELANGOR,BELGIUM,30.55,50.640281,4.666715
2016,KEDAH,BELGIUM,18.2,50.640281,4.666715
2017,KEDAH,BELGIUM,28.35,50.640281,4.666715
